Date,Time,Load,Temperature,Wind Speed
2/13/2004,12:00:00 AM,17.73700306,30,8
2/13/2004,1:00:00 AM,12.5382263,32,8
2/13/2004,2:00:00 AM,9.480122324,33,5
2/13/2004,3:00:00 AM,9.785932722,33,7
2/13/2004,4:00:00 AM,11.31498471,33,6
2/13/2004,5:00:00 AM,23.85321101,32,3
2/13/2004,6:00:00 AM,43.42507645,32,7
2/13/2004,7:00:00 AM,55.35168196,32,9
2/13/2004,8:00:00 AM,59.63302752,31,8
2/13/2004,9:00:00 AM,60.85626911,33,6
2/13/2004,10:00:00 AM,60.55045872,36,14
2/13/2004,11:00:00 AM,57.49235474,36,13
2/13/2004,12:00:00 PM,53.82262997,37,15
2/13/2004,1:00:00 PM,48.92966361,38,17
2/13/2004,2:00:00 PM,47.40061162,39,16
2/13/2004,3:00:00 PM,43.42507645,40,11
2/13/2004,4:00:00 PM,46.17737003,41,13
2/13/2004,5:00:00 PM,62.3853211,40,11
2/13/2004,6:00:00 PM,75.5351682,40,7
2/13/2004,7:00:00 PM,71.86544343,37,10
2/13/2004,8:00:00 PM,66.05504587,38,8
2/13/2004,9:00:00 PM,59.02140673,36,8
2/13/2004,10:00:00 PM,46.48318043,34,6
2/13/2004,11:00:00 PM,29.66360856,33,6
2/14/2004,12:00:00 AM,18.65443425,33,3
2/14/2004,1:00:00 AM,10.70336391,32,3
2/14/2004,2:00:00 AM,8.868501529,32,5
2/14/2004,3:00:00 AM,4.892966361,32,3
2/14/2004,4:00:00 AM,6.727828746,31,6
2/14/2004,5:00:00 AM,12.8440367,31,9
2/14/2004,6:00:00 AM,19.87767584,31,9
2/14/2004,7:00:00 AM,31.49847095,31,10
2/14/2004,8:00:00 AM,42.81345566,31,8
2/14/2004,9:00:00 AM,49.23547401,32,8
2/14/2004,10:00:00 AM,50.4587156,33,9
2/14/2004,11:00:00 AM,47.09480122,35,15
2/14/2004,12:00:00 PM,42.81345566,36,10
2/14/2004,1:00:00 PM,39.14373089,37,13
2/14/2004,2:00:00 PM,34.55657492,37,13
2/14/2004,3:00:00 PM,34.55657492,38,14
2/14/2004,4:00:00 PM,40.36697248,38,15
2/14/2004,5:00:00 PM,56.88073394,37,13
2/14/2004,6:00:00 PM,68.50152905,36,9
2/14/2004,7:00:00 PM,63.91437309,35,9
2/14/2004,8:00:00 PM,58.71559633,34,7
2/14/2004,9:00:00 PM,49.8470948,34,9
2/14/2004,10:00:00 PM,39.44954128,32,8
2/14/2004,11:00:00 PM,27.52293578,32,9
2/15/2004,12:00:00 AM,15.90214067,31,7
2/15/2004,1:00:00 AM,10.70336391,30,3
2/15/2004,2:00:00 AM,6.422018349,26,0
2/15/2004,3:00:00 AM,6.116207951,24,0
